"","X","year","region","state_po","state_fips","state_cen","state_ic","office","candidate","party","writein","candidatevotes","totalvotes","version","state_percent"
"1",1,1976,"alabama","AL",1,63,41,"US President","Carter, Jimmy","democrat",FALSE,659170,1182850,20171015,0.557272688844739
"2",2,1976,"alabama","AL",1,63,41,"US President","Ford, Gerald","republican",FALSE,504070,1182850,20171015,0.426148708627468
"3",3,1976,"alabama","AL",1,63,41,"US President","Maddox, Lester","american independent party",FALSE,9198,1182850,20171015,0.00777613391385214
"4",4,1976,"alabama","AL",1,63,41,"US President","Bubar, Benjamin """"Ben""""","prohibition",FALSE,6669,1182850,20171015,0.00563807752462273
"5",5,1976,"alabama","AL",1,63,41,"US President","Hall, Gus","communist party use",FALSE,1954,1182850,20171015,0.001651942342647
"6",6,1976,"alabama","AL",1,63,41,"US President","Macbride, Roger","libertarian",FALSE,1481,1182850,20171015,0.00125206070084964
"7",7,1976,"alabama","AL",1,63,41,"US President","","",TRUE,308,1182850,20171015,0.000260388045821533
"8",8,1976,"alaska","AK",2,94,81,"US President","Ford, Gerald","republican",FALSE,71555,123574,20171015,0.579045753961189
"9",9,1976,"alaska","AK",2,94,81,"US President","Carter, Jimmy","democrat",FALSE,44058,123574,20171015,0.356531309175069
"10",10,1976,"alaska","AK",2,94,81,"US President","Macbride, Roger","libertarian",FALSE,6785,123574,20171015,0.0549063718905271
"11",11,1976,"alaska","AK",2,94,81,"US President","","",TRUE,1176,123574,20171015,0.00951656497321443
"12",12,1976,"arizona","AZ",4,86,61,"US President","Ford, Gerald","republican",FALSE,418642,742719,20171015,0.563661357794805
"13",13,1976,"arizona","AZ",4,86,61,"US President","Carter, Jimmy","democrat",FALSE,295602,742719,20171015,0.397999781882515
"14",14,1976,"arizona","AZ",4,86,61,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,19229,742719,20171015,0.0258900068531975
"15",15,1976,"arizona","AZ",4,86,61,"US President","Macbride, Roger","libertarian",FALSE,7647,742719,20171015,0.0102959531128192
"16",16,1976,"arizona","AZ",4,86,61,"US President","Camejo, Peter","socialist workers",FALSE,928,742719,20171015,0.00124946312131506
"17",17,1976,"arizona","AZ",4,86,61,"US President","Anderson, Thomas J.","american",FALSE,564,742719,20171015,0.000759371983213032
"18",18,1976,"arizona","AZ",4,86,61,"US President","Maddox, Lester","american independent party",FALSE,85,742719,20171015,0.000114444359172177
"19",19,1976,"arizona","AZ",4,86,61,"US President","","",TRUE,22,742719,20171015,2.96208929622105e-05
"20",20,1976,"arkansas","AR",5,71,42,"US President","Carter, Jimmy","democrat",FALSE,498604,767535,20171015,0.649617281296618
"21",21,1976,"arkansas","AR",5,71,42,"US President","Ford, Gerald","republican",FALSE,267903,767535,20171015,0.349043366100569
"22",22,1976,"arkansas","AR",5,71,42,"US President","","independent",FALSE,639,767535,20171015,0.000832535324122027
"23",23,1976,"arkansas","AR",5,71,42,"US President","Maddox, Lester","american independent party",FALSE,389,767535,20171015,0.000506817278690874
"24",24,1976,"california","CA",6,93,71,"US President","Ford, Gerald","republican",FALSE,3882244,7803770,20171015,0.497483139559469
"25",25,1976,"california","CA",6,93,71,"US President","Carter, Jimmy","democrat",FALSE,3742284,7803770,20171015,0.479548218361125
"26",26,1976,"california","CA",6,93,71,"US President","Macbride, Roger","independent",FALSE,56388,7803770,20171015,0.0072257383290384
"27",27,1976,"california","CA",6,93,71,"US President","Maddox, Lester","american independent party",FALSE,51098,7803770,20171015,0.00654786084161886
"28",28,1976,"california","CA",6,93,71,"US President","Wright, Margaret","peace & freedom",FALSE,41731,7803770,20171015,0.00534754355907465
"29",29,1976,"california","CA",6,93,71,"US President","Camejo, Peter","independent",FALSE,17259,7803770,20171015,0.00221162335640338
"30",30,1976,"california","CA",6,93,71,"US President","Hall, Gus","independent",FALSE,12766,7803770,20171015,0.00163587599326992
"31",31,1976,"colorado","CO",8,84,62,"US President","Ford, Gerald","republican",FALSE,584278,1081440,20171015,0.540277777777778
"32",32,1976,"colorado","CO",8,84,62,"US President","Carter, Jimmy","democrat",FALSE,460801,1081440,20171015,0.426099459979287
"33",33,1976,"colorado","CO",8,84,62,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,26047,1081440,20171015,0.0240854786210978
"34",34,1976,"colorado","CO",8,84,62,"US President","Macbride, Roger","libertarian",FALSE,5338,1081440,20171015,0.0049360112442669
"35",35,1976,"colorado","CO",8,84,62,"US President","Bubar, Benjamin """"Ben""""","prohibition",FALSE,2886,1081440,20171015,0.00266866400355082
"36",36,1976,"colorado","CO",8,84,62,"US President","Camejo, Peter","socialist workers",FALSE,1122,1081440,20171015,0.00103750554815801
"37",37,1976,"colorado","CO",8,84,62,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,565,1081440,20171015,0.000522451546086699
"38",38,1976,"colorado","CO",8,84,62,"US President","Hall, Gus","communist party use",FALSE,403,1081440,20171015,0.000372651279775115
"39",39,1976,"connecticut","CT",9,16,1,"US President","Ford, Gerald","republican",FALSE,719261,1386355,20171015,0.518814445073592
"40",40,1976,"connecticut","CT",9,16,1,"US President","Carter, Jimmy","democrat",FALSE,647895,1386355,20171015,0.467337009640388
"41",41,1976,"connecticut","CT",9,16,1,"US President","Scattering","",FALSE,10309,1386355,20171015,0.00743604632291152
"42",42,1976,"connecticut","CT",9,16,1,"US President","Maddox, Lester","american independent party",FALSE,7101,1386355,20171015,0.00512206469482925
"43",43,1976,"connecticut","CT",9,16,1,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,1789,1386355,20171015,0.00129043426827905
"44",44,1976,"delaware","DE",10,51,11,"US President","Carter, Jimmy","democrat",FALSE,122461,235642,20171015,0.519690887023536
"45",45,1976,"delaware","DE",10,51,11,"US President","Ford, Gerald","republican",FALSE,109780,235642,20171015,0.465876202035291
"46",46,1976,"delaware","DE",10,51,11,"US President","","no party affiliation",FALSE,2432,235642,20171015,0.0103207407847497
"47",47,1976,"delaware","DE",10,51,11,"US President","Anderson, Thomas J.","american",FALSE,645,235642,20171015,0.00273720304529753
"48",48,1976,"delaware","DE",10,51,11,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,135,235642,20171015,0.00057290296296925
"49",49,1976,"delaware","DE",10,51,11,"US President","Bubar, Benjamin """"Ben""""","prohibition",FALSE,103,235642,20171015,0.00043710374211728
"50",50,1976,"delaware","DE",10,51,11,"US President","","socialist labor",FALSE,86,235642,20171015,0.00036496040603967
"51",51,1976,"district of columbia","DC",11,53,55,"US President","Carter, Jimmy","democrat",FALSE,137818,168830,20171015,0.816312266777232
"52",52,1976,"district of columbia","DC",11,53,55,"US President","Ford, Gerald","republican",FALSE,27873,168830,20171015,0.165095066042765
"53",53,1976,"district of columbia","DC",11,53,55,"US President","Other","",FALSE,1656,168830,20171015,0.00980868329088432
"54",54,1976,"district of columbia","DC",11,53,55,"US President","","independent",FALSE,1195,168830,20171015,0.00707812592548718
"55",55,1976,"district of columbia","DC",11,53,55,"US President","","",TRUE,288,168830,20171015,0.00170585796363206
"56",56,1976,"florida","FL",12,59,43,"US President","Carter, Jimmy","democrat",FALSE,1636000,3150631,20171015,0.519261062307836
"57",57,1976,"florida","FL",12,59,43,"US President","Ford, Gerald","republican",FALSE,1469531,3150631,20171015,0.46642434483759
"58",58,1976,"florida","FL",12,59,43,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,23643,3150631,20171015,0.00750421106121282
"59",59,1976,"florida","FL",12,59,43,"US President","Anderson, Thomas J.","american",FALSE,21325,3150631,20171015,0.00676848542403093
"60",60,1976,"florida","FL",12,59,43,"US President","","",TRUE,132,3150631,20171015,4.18963693304611e-05
"61",61,1976,"georgia","GA",13,58,44,"US President","Carter, Jimmy","democrat",FALSE,979409,1463152,20171015,0.669382948593174
"62",62,1976,"georgia","GA",13,58,44,"US President","Ford, Gerald","republican",FALSE,483743,1463152,20171015,0.330617051406826
"63",63,1976,"hawaii","HI",15,95,82,"US President","Carter, Jimmy","democrat",FALSE,147375,291301,20171015,0.505919993408879
"64",64,1976,"hawaii","HI",15,95,82,"US President","Ford, Gerald","republican",FALSE,140003,291301,20171015,0.480612836893797
"65",65,1976,"hawaii","HI",15,95,82,"US President","Macbride, Roger","libertarian",FALSE,3923,291301,20171015,0.0134671696973234
"66",66,1976,"idaho","ID",16,82,63,"US President","Ford, Gerald","republican",FALSE,204151,340932,20171015,0.59880269379231
"67",67,1976,"idaho","ID",16,82,63,"US President","Carter, Jimmy","democrat",FALSE,126549,340932,20171015,0.371185456337334
"68",68,1976,"idaho","ID",16,82,63,"US President","Maddox, Lester","american",FALSE,5935,340932,20171015,0.0174081635047458
"69",69,1976,"idaho","ID",16,82,63,"US President","Macbride, Roger","libertarian",FALSE,3558,340932,20171015,0.0104360986941678
"70",70,1976,"idaho","ID",16,82,63,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,739,340932,20171015,0.00216758767144181
"71",71,1976,"illinois","IL",17,33,21,"US President","Ford, Gerald","republican",FALSE,2364269,4721282,20171015,0.50076843535294
"72",72,1976,"illinois","IL",17,33,21,"US President","Carter, Jimmy","democrat",FALSE,2271295,4721282,20171015,0.481075902689142
"73",73,1976,"illinois","IL",17,33,21,"US President","McCarthy, Eugene """"Gene""""","independent",FALSE,55939,4721282,20171015,0.0118482649415985
"74",74,1976,"illinois","IL",17,33,21,"US President","Hall, Gus","communist party use",FALSE,9250,4721282,20171015,0.00195921362036837
"75",75,1976,"illinois","IL",17,33,21,"US President","Macbride, Roger","libertarian",FALSE,8057,4721282,20171015,0.00170652801506032
"76",76,1976,"illinois","IL",17,33,21,"US President","","",TRUE,4417,4721282,20171015,0.000935550979585629
"77",77,1976,"illinois","IL",17,33,21,"US President","Camejo, Peter","socialist workers",FALSE,3615,4721282,20171015,0.000765681863527745
"78",78,1976,"illinois","IL",17,33,21,"US President","Julius """"Jules"""", Levin","socialist labor",FALSE,2422,4721282,20171015,0.000512996258219695
"79",79,1976,"illinois","IL",17,33,21,"US President","Larouche, Lyndon, Jr.","u.s. labor",FALSE,2018,4721282,20171015,0.00042742627955712
"80",80,1976,"indiana","IN",18,32,22,"US President","Ford, Gerald","republican",FALSE,1183958,2220362,20171015,0.533227464710709
"81",81,1976,"indiana","IN",18,32,22,"US President","Carter, Jimmy","democrat",FALSE,1014714,2220362,20171015,0.457003857929473
"82",82,1976,"indiana","IN",18,32,22,"US President","Anderson, Thomas J.","american",FALSE,14048,2220362,20171015,0.00632689624484656
"83",83,1976,"indiana","IN",18,32,22,"US President","Camejo, Peter","socialist workers",FALSE,5695,2220362,20171015,0.00256489707534177
